French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
yeux,eyes
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
